"9 Digit Campus Number","Campus Name","6 Digit County District Number","District Name","Campus 2024 Graduates: All Students Count (including FHSP)","Campus 2024 Graduates: Minimum HS PGM All Students Count","Campus 2024 Graduates: RHSP/DAP All Students Count","Campus 2024 Graduates: FHSP No Endorsement All Students Count","Campus 2024 Graduates: FHSP-E All Students Count","Campus 2024 Graduates: FHSP-DLA All Students Count","Campus 2024 Graduates: Texas First-DLA All Students Count","Campus 2024 Graduates: RHSP/DAP/FHSP-E/FHSP-DLA/Texas First-DLA All Students Count","Campus 2024 Graduates: All Students Count All Students Denominator","Campus 2024 Graduates: African American Count","Campus 2024 Graduates: Hispanic Count","Campus 2024 Graduates: White Count","Campus 2024 Graduates: American Indian Count","Campus 2024 Graduates: Asian Count","Campus 2024 Graduates: Pacific Islander Count","Campus 2024 Graduates: Two or More Races Count","Campus 2024 Graduates: Econ Disadv Count","Campus 2024 Graduates: Special Ed Count","Campus 2024 Graduates: EB/EL Count","Campus 2024 Graduates: At Risk Count","Campus 2024 Graduates: CTE Program Completer Count","Campus 2024 Graduates: CTE Program Completer Student Group %","Campus 2024 Graduates: RHSP/DAP All Students % (Profile Only)","Campus 2024 Graduates: FHSP No Endorsement All Students % (Profile Only)","Campus 2024 Graduates: FHSP-E All Students % (Profile Only)","Campus 2024 Graduates: FHSP-DLA All Students % (Profile Only)","Campus 2024 Graduates: Texas First-DLA All Students % (Profile Only)","Campus 2024 Graduates: All Students Group %","Campus 2024 Graduates: Minimum HS PGM All Students %","Campus 2024 Graduates: RHSP/DAP/FHSP-E/FHSP-DLA/Texas First-DLA All Students %","Campus 2024 Graduates: African American Student Group %","Campus 2024 Graduates: Hispanic Student Group %","Campus 2024 Graduates: White Student Group %","Campus 2024 Graduates: American Indian Student Group %","Campus 2024 Graduates: Asian Student Group %","Campus 2024 Graduates: Pacific Islander Student Group %","Campus 2024 Graduates: Two or More Races Student Group %","Campus 2024 Graduates: Econ Disadv Student Group %","Campus 2024 Graduates: Special Ed Student Group %","Campus 2024 Graduates: EB/EL Student Group %","Campus 2024 Graduates: At Risk Student Group %","Campus 2024 Graduates: Minimum HS PGM All Students % (Profile Only)"
CAMPUS,CAMPNAME,DISTRICT,DISTNAME,CA0GR24N,CA0GM24N,CA0GH24N,CA0GN24N,CA0GE24N,CA0GA24N,CA0G124N,CA0GS24N,CA0GS24D,CB0GR24N,CH0GR24N,CW0GR24N,CI0GR24N,C30GR24N,C40GR24N,C20GR24N,CE0GR24N,CS0GR24N,CL0GR24N,CR0GR24N,CV0GR24N,CV0GR24R,CA0GH24P,CA0GN24P,CA0GE24P,CA0GA24P,CA0G124P,CA0GR24R,CA0GM24R,CA0GS24R,CB0GR24R,CH0GR24R,CW0GR24R,CI0GR24R,C30GR24R,C40GR24R,C20GR24R,CE0GR24R,CS0GR24R,CL0GR24R,CR0GR24R,CA0GM24P
"057905001","BRYAN ADAMS H S LEADERSHIP ACADEMY","057905","DALLAS ISD",503,0,0,6,5,492,0,497,503,57,403,26,2,9,0,6,444,33,255,338,168,33.4,0,1.2,1,97.8,0,100,0,98.8,11.3,80.1,5.2,0.4,1.8,0,1.2,88.3,6.6,50.7,67.2,0
"057905002","W H ADAMSON H S","057905","DALLAS ISD",349,0,0,32,2,315,0,317,349,8,331,4,2,2,0,2,344,27,230,276,68,19.5,0,9.2,0.6,90.3,0,100,0,90.8,2.3,94.8,1.1,0.6,0.6,0,0.6,98.6,7.7,65.9,79.1,0
"057905003","NEW TECH H S AT B F DARRELL H S","057905","DALLAS ISD",120,0,0,2,1,117,0,118,120,26,87,5,1,1,0,0,99,7,39,51,45,37.5,0,1.7,0.8,97.5,0,100,0,98.3,21.7,72.5,4.2,0.8,0.8,0,0,82.5,5.8,32.5,42.5,0
"057905005","MOISES E MOLINA H S","057905","DALLAS ISD",463,0,0,31,5,427,0,432,463,20,436,6,0,0,0,1,431,40,228,326,115,24.8,0,6.7,1.1,92.2,0,100,0,93.3,4.3,94.2,1.3,0,0,0,0.2,93.1,8.6,49.2,70.4,0
"057905006","HILLCREST H S","057905","DALLAS ISD",364,0,0,27,17,320,0,337,364,70,238,49,0,5,1,1,273,30,165,221,44,12.1,0,7.4,4.7,87.9,0,100,0,92.6,19.2,65.4,13.5,0,1.4,0.3,0.3,75,8.2,45.3,60.7,0
"057905007","THOMAS JEFFERSON H S","057905","DALLAS ISD",266,0,0,4,17,245,0,262,266,6,255,1,3,0,0,1,264,26,209,243,65,24.4,0,1.5,6.4,92.1,0,100,0,98.5,2.3,95.9,0.4,1.1,0,0,0.4,99.2,9.8,78.6,91.4,0
"057905008","JUSTIN F KIMBALL H S","057905","DALLAS ISD",230,0,0,26,1,203,0,204,230,71,150,6,0,2,0,1,194,35,117,187,76,33,0,11.3,0.4,88.3,0,100,0,88.7,30.9,65.2,2.6,0,0.9,0,0.4,84.3,15.2,50.9,81.3,0
"057905009","LINCOLN HUMANITIES/COMMUNICATIONS MAGNET HIGH SCH","057905","DALLAS ISD",139,0,0,13,15,111,0,126,139,99,37,1,0,0,0,2,132,26,24,96,32,23,0,9.4,10.8,79.9,0,100,0,90.6,71.2,26.6,0.7,0,0,0,1.4,95,18.7,17.3,69.1,0
"057905012","DR L G PINKSTON SR H S","057905","DALLAS ISD",240,0,0,8,3,229,0,232,240,70,165,2,1,1,0,1,219,29,107,181,63,26.3,0,3.3,1.3,95.4,0,100,0,96.7,29.2,68.8,0.8,0.4,0.4,0,0.4,91.3,12.1,44.6,75.4,0
