Campus_id,Campus_name,District,District_name,Attendance_rate,Attendance_multirace,Attendance_asian,Attendance_black,Attendance_hispanic,Attendance_white,Attendance_american_indian,Attendance_econ_disadv,Attendance_specialED,Attendance_EBEL,Attendance_at_risk,Chronic_absent_rate,Chronic_absent_black,Chronic_absent_hispanic,Chronic_absent_white,Chronic_absent_american_indian,Chronic_absent_asian,Chronic_absent_multirace,Chronic_absent_econ_disadv,Chronic_absent_specialED,Chronic_absent_ELL,Chronic_absent_at_risk,dropout_rate
57905001,BRYAN ADAMS H S LEADERSHIP ACADEMY,57905,DALLAS ISD,92.8,90.3,91.5,92.8,92.8,93.5,91.1,92.8,92.5,92.7,92.4,26.5,28.9,26.1,23.5,40,34.5,30.8,25.4,27,26.8,27.6,2.1
57905002,W H ADAMSON H S,57905,DALLAS ISD,91.5,-1,-1,92.2,91.6,90.4,83,91.5,91.3,91.8,91.1,30,32.4,29.6,33.3,50,20,57.1,29.4,32.6,28.8,31.3,1.7
57905003,NEW TECH H S AT B F DARRELL H S,57905,DALLAS ISD,92.2,-1,-1,93,92.2,86,-1,92,92.6,92.3,90.9,23.9,20.7,24.3,36.4,-1,0,-1,24.5,20.5,23.9,29,0.5
57905005,MOISES E MOLINA H S,57905,DALLAS ISD,84.5,-1,-1,75.8,84.9,83.2,81.7,84.6,84.1,85.8,82.8,47.6,68.5,46.5,52.4,40,-1,40,47.3,47.3,43.3,51.4,3.1
57905006,HILLCREST H S,57905,DALLAS ISD,90.8,85.5,93.2,91.9,90.3,92.1,93.6,90.5,91.2,89.7,89.2,29.9,28,31.7,22.5,25,21.4,40,30.8,28.8,32.7,35.7,3.5
57905007,THOMAS JEFFERSON H S,57905,DALLAS ISD,90,80.9,-1,87.8,90.2,87.6,88.4,90.2,92,90.4,90.1,36,50,35.2,48.3,35,,41.7,35,26.6,34.6,35.3,7
57905008,JUSTIN F KIMBALL H S,57905,DALLAS ISD,86.7,89.5,-1,84.1,87.7,83.2,-1,87,88,88.2,85.9,46.3,54.4,42.7,51.7,37.5,-1,42.9,45.2,39.5,41.9,48.4,6.8
57905009,LINCOLN HUMANITIES/COMMUNICATIONS MAGNET HIGH SCH,57905,DALLAS ISD,86,85.8,,86,86.2,-1,-1,86,89.9,86,84.1,50.3,50.8,48.8,66.7,-1,,46.2,49.9,40,46.1,55.7,5.1
57905012,DR L G PINKSTON SR H S,57905,DALLAS ISD,86.4,83.8,95.4,84.6,87,83.9,-1,86.7,86,88,85.8,48.6,57.5,45.6,57.9,33.3,20,45.5,47.9,53.7,41.6,50.8,5.8
57905013,FRANKLIN D ROOSEVELT H S OF INNOVATION,57905,DALLAS ISD,86.5,-1,-1,85.2,87.2,90.8,-1,87.2,89.5,87.4,86.3,50.8,56.5,46.9,41.2,50,-1,77.8,48,37.5,48.1,51.4,5.7
57905014,W W SAMUELL H S,57905,DALLAS ISD,88.6,88.3,-1,81.6,89.6,88,85.8,88.7,87.9,90.1,88,38.4,60.8,34.7,41.9,40.7,-1,31.3,37.5,43.4,32.6,40.1,6.3
57905015,SEAGOVILLE H S,57905,DALLAS ISD,86.9,88.7,-1,89.1,86.2,87.5,-1,86.8,87.2,86.4,85.7,44.6,40.7,46.2,40.4,20,-1,45,44.1,43.1,46.5,48.5,1.1
57905016,SOUTH OAK CLIFF H S,57905,DALLAS ISD,88.4,88.5,94.7,88.4,88.4,82.4,93.5,88.9,90.9,89.4,87.8,44.9,46.4,42.7,65,37.5,8.3,43.8,42.4,38.9,38.9,46.7,3.7
57905017,H GRADY SPRUCE H S,57905,DALLAS ISD,82.7,78.2,-1,77.6,83.6,86.7,85,83.2,87.2,83.7,82,54.8,68.1,52.2,44.4,50,-1,72.7,52.2,41.7,52.2,55.8,3.8
57905018,SUNSET H S,57905,DALLAS ISD,88.8,-1,93.5,86.5,88.9,88.8,80.5,88.9,88.6,89.7,87.9,38.8,45.9,38.7,41.9,42.9,14.3,50,38.4,40.7,35.4,41.9,2.6
57905021,W T WHITE H S,57905,DALLAS ISD,91.4,90.9,93.7,91.1,91.4,90.2,92.2,91.4,89.8,91.5,91,29.1,33.5,28.3,35,30.4,25.8,28.6,28.1,33.5,28,30.2,4.8
57905022,WOODROW WILSON H S,57905,DALLAS ISD,89.7,88.7,93.3,88.2,88.2,93.3,-1,87.6,86.8,87.4,86.2,29.8,41.5,33.8,17.9,42.9,20,36.4,36.8,36.7,34.8,41.1,2
57905023,DAVID W CARTER H S,57905,DALLAS ISD,87.9,75.2,,88,88.1,85.5,-1,88.3,88.1,88.3,86.9,46.2,45.7,46,50,-1,,69.2,42.8,44.8,46,48.6,5.2
57905024,NORTH DALLAS H S,57905,DALLAS ISD,89.9,84.7,95.8,87.9,90.5,92.8,-1,89.9,92.3,90.5,89,38.5,46.2,35.7,23.5,28.6,5.3,63.2,37.6,29,35.4,41.4,5.4
57905025,SKYLINE H S,57905,DALLAS ISD,90.4,89.9,94.3,89.4,90.7,89.9,94.2,90.6,88.9,90.6,89.1,30.5,35.8,29.1,37.5,21.1,16.7,31.4,29.5,34.9,30.5,34.7,3.2
57905026,SCHOOL OF SCIENCE AND ENGINEERING,57905,DALLAS ISD,97.4,94.3,97.7,97.4,97.4,97.3,-1,97.2,97.9,97.5,97.2,2.2,0,2.2,1.9,-1,2.4,14.3,2.8,0,2.6,3.5,0
57905028,EMMETT J CONRAD H S,57905,DALLAS ISD,90.3,91.3,91.1,91.2,89.8,92.3,90.6,90.5,89.7,89.9,89.6,33.8,32.5,35.5,26.2,54.5,26.5,20,32,34.8,34,34.7,5.6
