Campus_id,Campus_name,District_id,District_name,Teacher_count,Support_staff_count,Admin_staff_count,Aid_count,Total_staff_count,Teacher_experience_avg,Teacher_white_pct,Teacher_black_pct,Teacher_hispanic_pct,Teacher_american_indian_pct,Teacher_asian_pct,Teacher_multirace_pct,Teacher_male_pct,Teacher_female_pct,Teacher_student_ratio
57905001,BRYAN ADAMS H S LEADERSHIP ACADEMY,57905,DALLAS ISD,149.4,15,7.3,15.8,187.5,7.8,31,28,34.8,1.6,3.8,0.7,52.5,47.5,14.7
57905002,W H ADAMSON H S,57905,DALLAS ISD,93.6,11,5.1,8.9,118.6,8.7,21.9,33.5,37.1,3.2,2.1,2.2,58.8,41.2,14.5
57905003,NEW TECH H S AT B F DARRELL H S,57905,DALLAS ISD,24.2,4.8,1,2,32,5.5,33.1,37.6,25.2,0,0,4.1,53.7,46.3,16.8
57905005,MOISES E MOLINA H S,57905,DALLAS ISD,124.9,12,8,16.8,161.8,9.4,24,33.1,34.8,0.8,5.6,0.1,44.7,55.3,16
57905006,HILLCREST H S,57905,DALLAS ISD,104.7,11,6.3,12.9,134.8,8.9,39.9,31.1,19.7,0,7.5,1.9,52.6,47.4,15
57905007,THOMAS JEFFERSON H S,57905,DALLAS ISD,108.3,13,4.8,23.8,149.8,9.3,46.1,15.3,30.1,0.5,6.3,1.8,51.2,48.8,14
57905008,JUSTIN F KIMBALL H S,57905,DALLAS ISD,84.3,10,6,12.9,113.2,9.8,7.8,71.4,18.4,1.2,1.2,0.1,59.4,40.6,13.9
57905009,LINCOLN HUMANITIES/COMMUNICATIONS MAGNET HIGH SCH,57905,DALLAS ISD,44.2,7,3.6,8.9,63.8,11.4,14,82.4,3.3,0,0.2,0,49.6,50.4,13.1
57905012,DR L G PINKSTON SR H S,57905,DALLAS ISD,81.6,10,5,10.9,107.5,7.2,13.1,59,21.5,0,4.9,1.4,56.8,43.2,15.5
57905013,FRANKLIN D ROOSEVELT H S OF INNOVATION,57905,DALLAS ISD,48.2,7,5,9.9,70.1,10,4.4,78,12,0,4.2,1.4,33.3,66.7,14.9
57905014,W W SAMUELL H S,57905,DALLAS ISD,119.5,11.1,7.5,19.8,158,8.2,26.4,46.2,21.1,1,3.6,1.7,49.3,50.7,14.3
57905015,SEAGOVILLE H S,57905,DALLAS ISD,113.4,11,8.1,20.8,153.2,10.2,25.8,50.5,13.1,0,6.2,3.6,45.8,54.2,15.7
57905016,SOUTH OAK CLIFF H S,57905,DALLAS ISD,98.2,10,6.4,13.9,128.4,9.6,11.5,75.6,9.5,0,2,0.5,54.9,45.1,15.9
57905017,H GRADY SPRUCE H S,57905,DALLAS ISD,94.2,9.9,4.6,15.8,124.5,9.2,16.4,57,20,0.2,4.3,2.1,50.9,49.1,14.5
57905018,SUNSET H S,57905,DALLAS ISD,133.6,12,6.1,11.9,163.6,9.8,18.5,29.4,37.8,1.5,11.2,1.6,52.4,47.6,16.2
57905021,W T WHITE H S,57905,DALLAS ISD,138.6,13,7,13.9,172.5,8.3,34.4,32.1,25.9,0,5.4,2.2,53.4,46.6,15.9
57905022,WOODROW WILSON H S,57905,DALLAS ISD,114.7,12.9,7,20.8,155.4,7.9,40.7,26,25.3,1,6.1,0.9,49.5,50.5,15.9
57905023,DAVID W CARTER H S,57905,DALLAS ISD,69.7,9,4.1,11.9,94.7,11,10.1,78.2,8.7,0,2.9,0.2,43.7,56.3,15.7
57905024,NORTH DALLAS H S,57905,DALLAS ISD,81.1,11,5.5,15.8,113.4,7.8,28.7,36.8,26.8,0,6.5,1.2,49.5,50.5,16
57905025,SKYLINE H S,57905,DALLAS ISD,227.6,23,14,25.7,290.3,12.2,25.5,41.6,19.8,0.9,7.9,3.5,49.6,50.4,16.9
57905026,SCHOOL OF SCIENCE AND ENGINEERING,57905,DALLAS ISD,26,2,1,0,29,14.5,73.1,7.7,11.5,0,7.7,0,50,50,19.4
57905028,EMMETT J CONRAD H S,57905,DALLAS ISD,82.4,8,6,14.9,111.3,9.9,37.6,34.7,13.9,0,10.2,3.6,41.9,58.1,16
57905032,JAMES MADISON H S,57905,DALLAS ISD,29.5,7,3.5,2,42,11.2,8.8,76,8.5,0,3.4,3.4,50.1,49.9,11.8
57905033,MARVIN E ROBINSON SCHOOL OF BUSINESS AND MGMT,57905,DALLAS ISD,26.5,2,2,0,30.5,14.8,32.1,45.3,15.1,0,3.8,3.8,49.1,50.9,18
57905034,BOOKER T WASHINGTON SPVA MAGNET,57905,DALLAS ISD,55,9,3,1,68,12.3,50.9,26.4,18.2,0.9,3.6,0,47.3,52.7,17.6
57905035,IRMA RANGEL YOUNG WOMEN'S LEADERSHIP SCHOOL,57905,DALLAS ISD,34.5,7,2,2,45.5,12.3,42,17.4,26.1,0,14.5,0,23.2,76.8,17.5
57905036,SCHOOL OF HEALTH PROFESSIONS,57905,DALLAS ISD,25,3,2,2,32,12.8,36,36,28,0,0,0,24,76,19.9
57905037,ROSIE SORRELLS EDUCATION AND SOCIAL SERVICES H S,57905,DALLAS ISD,16.5,0.5,1,0,18,10.1,45.3,12.2,36.5,0,6.1,0,36.5,63.5,10.2
57905038,JUDGE BAREFOOT SANDERS LAW MAGNET,57905,DALLAS ISD,26,2,1,0,29,12.4,26.9,26.9,42.3,0,3.8,0,57.7,42.3,19
57905039,SCHOOL FOR THE TALENTED AND GIFTED,57905,DALLAS ISD,31.5,2,1,0,34.5,13.5,49.2,12.7,28.6,3.2,3.2,3.2,46,54,17.6
57905085,KATHLYN JOY GILLIAM COLLEGIATE ACADEMY,57905,DALLAS ISD,18.9,2.1,2,2,25,11.1,15.9,68.3,10.6,0,5.3,0,47.6,52.4,18.1
57905088,TRINIDAD GARZA EARLY COLLEGE AT MT VIEW,57905,DALLAS ISD,23.5,4,2,3,32.5,10.9,19.1,29.8,38.3,0,8.5,0,27.6,72.4,20.2
57905090,DR WRIGHT L LASSITER JR EARLY COLLEGE H S,57905,DALLAS ISD,15,4,2,1,22,15.2,46.7,20,26.7,0,0,6.7,33.3,66.7,19.5
