Campus_id,Campus_name,District_ID,District_name,Total_students,White_pct,Black_pct,Hispanic_pct,American_indian_pct,Asian_pct,SpecialED_pct,GT_pct,CTE_pct,CTE_9_12_pct,EB_EL_pct,Econ_disadv_pct,At_risk_pct
57905001,BRYAN ADAMS H S LEADERSHIP ACADEMY,57905,DALLAS ISD,2203,4.9,9.8,82.8,0.5,1,10,16.7,80,80,52.4,92.6,71.5
57905002,W H ADAMSON H S,57905,DALLAS ISD,1353,1.3,2.4,95.2,0.5,0.3,9.4,16.8,81.9,81.9,59.3,98.7,74.4
57905003,NEW TECH H S AT B F DARRELL H S,57905,DALLAS ISD,407,3.2,20.6,74,0,1.7,11.3,25.1,96.1,96.1,40,90.4,60
57905005,MOISES E MOLINA H S,57905,DALLAS ISD,2005,0.9,4,94.2,0.4,0,11.2,15.1,83,83,53.3,93.2,75.2
57905006,HILLCREST H S,57905,DALLAS ISD,1571,10.6,17.6,68.4,0.6,1.3,9.3,20.6,71,71,48.2,82.4,63.8
57905007,THOMAS JEFFERSON H S,57905,DALLAS ISD,1516,1.6,5.1,91.7,0.9,0.2,10.8,15.2,66.4,66.4,75.4,97.6,84.9
57905008,JUSTIN F KIMBALL H S,57905,DALLAS ISD,1175,1,27.1,70.6,0.5,0,15,10.7,74.9,74.9,52.8,89.5,79.5
57905009,LINCOLN HUMANITIES/COMMUNICATIONS MAGNET HIGH SCH,57905,DALLAS ISD,579,0.5,70.1,27.5,0.3,0,16.4,12.4,75,75,21.2,96.9,71.2
57905012,DR L G PINKSTON SR H S,57905,DALLAS ISD,1264,1.5,23.7,72.7,0.5,0.6,14.7,11.9,71.9,71.9,47.8,95.3,80.6
57905013,FRANKLIN D ROOSEVELT H S OF INNOVATION,57905,DALLAS ISD,720,1.4,36.4,60.3,0.4,0.1,15.3,11.9,54.4,54.4,44.3,97.6,79.9
57905014,W W SAMUELL H S,57905,DALLAS ISD,1708,2.2,11.5,84.3,0.7,0.2,14.4,16.8,55,55,64.6,95.7,84.3
57905015,SEAGOVILLE H S,57905,DALLAS ISD,1782,6.8,19,72.9,0.3,0.2,13.4,13.7,70.7,70.7,53.7,91.3,81.2
57905016,SOUTH OAK CLIFF H S,57905,DALLAS ISD,1559,0.9,58.2,38.4,0.6,0.8,12.5,13.6,80.1,80.1,31.9,97.9,73.1
57905017,H GRADY SPRUCE H S,57905,DALLAS ISD,1370,2.3,13.4,83.1,0.6,0.2,13.7,11.6,81.9,81.9,67.2,96.4,88.8
57905018,SUNSET H S,57905,DALLAS ISD,2164,1.5,1.2,96.5,0.4,0.1,11,16.6,73.6,73.6,53.4,93.5,74.9
57905021,W T WHITE H S,57905,DALLAS ISD,2204,3.8,10.3,83.1,0.9,1,10.6,15.7,67.4,67.4,59.5,90,75.9
57905022,WOODROW WILSON H S,57905,DALLAS ISD,1829,27.7,7.3,62,0.3,1.2,11,24.4,55.2,55.2,31.2,61.2,53.6
57905023,DAVID W CARTER H S,57905,DALLAS ISD,1097,1.5,57,39.9,0.2,0.2,15.2,13.8,64.6,64.6,26.5,91.2,71.1
57905024,NORTH DALLAS H S,57905,DALLAS ISD,1300,2.6,27.5,66.5,0.4,1.5,12.9,20,79.8,79.8,48.2,91.1,75.5
57905025,SKYLINE H S,57905,DALLAS ISD,3837,1.8,20.2,76.5,0.4,0.3,8.6,20,76,76,46.8,92.2,71.6
